id,Title,Price,Colors,Size,Gender
1,Unknown Product,$100.00,5 Colors,M,Men
2,T-shirt 2,$102.15,3 Colors,M,Women
3,Hoodie 3,$496.88,3 Colors,L,Unisex
4,Pants 4,$467.31,3 Colors,XL,Men
5,Outerwear 5,$321.59,3 Colors,XXL,Women
6,Jacket 6,$153.37,3 Colors,S,Unisex
7,Crewneck 7,$430.75,3 Colors,M,Men
8,T-shirt 8,$487.66,3 Colors,L,Women
9,Hoodie 9,$248.26,3 Colors,XL,Unisex
10,Pants 10,$193.76,3 Colors,XXL,Men
11,Unknown Product,$100.00,5 Colors,M,Men
12,Jacket 12,$532.99,3 Colors,M,Unisex
13,Crewneck 13,$340.45,3 Colors,L,Men
14,T-shirt 14,$203.05,3 Colors,XL,Women
15,Hoodie 15,$136.51,3 Colors,XXL,Unisex
16,Pants 16,Price Unavailable,8 Colors,S,Men
17,Outerwear 17,$52.60,3 Colors,M,Women
18,Jacket 18,$343.75,3 Colors,L,Unisex
19,Crewneck 19,$81.81,3 Colors,XL,Men
20,T-shirt 20,$82.85,3 Colors,XXL,Women
21,Unknown Product,$100.00,5 Colors,M,Men
22,Pants 22,$269.98,3 Colors,M,Men
23,Outerwear 23,$290.99,3 Colors,L,Women
24,Jacket 24,$513.97,3 Colors,XL,Unisex
25,Crewneck 25,$520.16,3 Colors,XXL,Men
26,T-shirt 26,$455.77,3 Colors,S,Women
27,Hoodie 27,$221.99,3 Colors,M,Unisex
28,Pants 28,$326.01,3 Colors,L,Men
29,Outerwear 29,$53.85,3 Colors,XL,Women
30,Jacket 30,$538.14,3 Colors,XXL,Unisex
31,Unknown Product,$100.00,5 Colors,M,Men
32,T-shirt 32,$416.12,3 Colors,M,Women
33,Hoodie 33,$453.01,3 Colors,L,Unisex
34,Pants 34,$522.67,3 Colors,XL,Men
35,Outerwear 35,$84.76,3 Colors,XXL,Women
36,Jacket 36,$453.08,3 Colors,S,Unisex
37,Crewneck 37,$375.38,3 Colors,M,Men
38,T-shirt 38,$304.13,3 Colors,L,Women
39,Hoodie 39,$401.95,3 Colors,XL,Unisex
40,Pants 40,$365.85,3 Colors,XXL,Men
41,Unknown Product,$100.00,5 Colors,M,Men
42,Jacket 42,$421.51,3 Colors,M,Unisex
43,Crewneck 43,$181.85,3 Colors,L,Men
44,T-shirt 44,$207.02,3 Colors,XL,Women
45,Hoodie 45,$543.32,3 Colors,XXL,Unisex
46,Pants 46,Price Unavailable,8 Colors,S,Men
47,Outerwear 47,$397.79,3 Colors,M,Women
